6 67
5 9 8 6 3 6
182 2 90 165 9 9
133 4 8 6 4 0 4
16 0 5 2 0 3 6
71 1 4 1 0 2 0
81 1 8 1 5 2 2
211 3 3 0 3 1 3
222 4 9 8 3 2 0
29 0 2 5 3 2 0
187 2 4 2 2 1 6
41 0 4 7 6 0 6
194 2 1 3 4 0 5
171 1 3 8 4 0 6
139 0 5 3 1 0 6
109 5 3 4 6 3 1
196 5 0 7 3 2 5
57 1 5 1 6 3 0
91 3 3 3 3 2 3
210 4 2 1 1 2 6
157 1 8 8 5 0 5
126 3 0 8 4 0 2
26 4 8 4 4 2 3
219 2 0 8 4 3 6
213 5 5 8 4 2 3
46 4 9 4 1 0 3
239 2 1 6 2 1 1
209 2 6 8 2 2 3
58 5 5 8 0 2 1
126 0 6 7 3 3 6
105 1 7 7 3 3 4
199 1 2 3 2 3 4
201 3 6 4 3 0 5
149 2 0 4 5 3 6
115 2 1 7 4 2 5
67 1 0 6 5 3 3
88 3 3 7 4 3 0
251 4 3 6 1 3 6
56 1 9 5 0 1 0
53 2 8 8 3 1 6
84 0 2 5 6 3 4
147 2 8 0 0 2 1
157 5 0 0 2 0 3
183 5 0 8 5 3 2
240 0 0 4 0 1 2
250 5 3 5 5 2 3
129 3 2 5 1 3 1
62 0 5 6 2 0 4
241 0 6 4 1 3 2
222 3 0 6 3 3 2
55 1 5 2 2 0 2
125 2 8 1 1 3 6
135 4 1 8 4 3 2
73 0 9 4 1 3 4
141 1 6 6 4 2 2
98 1 0 8 6 3 3
221 0 2 4 4 0 5
86 4 2 5 5 2 6
88 0 4 5 2 1 2
6 5 6 8 4 3 2
3 0 7 0 2 3 6
80 2 1 8 6 1 3
127 1 8 8 3 1 2
60 2 4 4 1 3 4
228 5 3 3 1 1 1
71 4 8 7 0 2 2
161 5 9 2 1 2 5
47 3 1 7 3 2 0
166 0 2 6 3 2 3
50 5 8 4 1 0 1
